bg2020gj,bg2020ge,bg2010gj,bg2010ge,wt_pop,wt_adult,wt_hh,wt_hu,parea
G06000104001001,060014001001,G06000104001001,060014001001,0.98938216809,0.991273343808,0.991334460993,0.991949146756,0.990509202092
G06000104001001,060014001001,G06001303540011,060133540011,1.92826e-7,2.01604e-7,2.25992e-7,2.26773e-7,0.002784931774
G06000104001001,060014001001,G06000104226001,060014226001,0,0,0,0,0.001764481462
G06000104001001,060014001001,G06000104216001,060014216001,0,0,0,0,0.001241620499
G06000104001001,060014001001,G06000104227001,060014227001,0.004704841261,0.004099169326,0.004335659864,0.004025969873,2.678791e-4
G06000104001001,060014001001,G06000104237001,060014237001,0.005863141204,0.004575802493,0.00427651234,0.003971047173,0.002204033245
G06000104001001,060014001001,G06000104237002,060014237002,0,0,0,0,0.001219834626
G06000104001001,060014001001,G06000104238001,060014238001,4.9656619e-5,5.148277e-5,5.3140811e-5,5.3609425e-5,8.017201e-6
G06000104001002,060014001002,G06000104001001,060014001001,0.99999333726,0.999994511061,0.999996960272,0.999997149322,0.998097987575
G06000104001002,060014001002,G06001303540011,060133540011,6.66274e-6,5.488939e-6,3.039728e-6,2.850678e-6,0.001717439418
G06000104001002,060014001002,G06001303530012,060133530012,0,0,0,0,1.84573007e-4
G06000104002001,060014002001,G06000104002001,060014002001,0.99674285486,0.997866463316,0.998006460454,0.998024655687,0.99761863436
G06000104002001,060014002001,G06000104238002,060014238002,0.00325714514,0.002133536684,0.001993539546,0.001975344313,0.00238136564
G06000104002002,060014002002,G06000104002002,060014002002,1,1,1,1,1
G06000104003001,060014003001,G06000104003001,060014003001,1,1,1,1,1
G06000104003002,060014003002,G06000104003002,060014003002,1,1,1,1,1
G06000104003003,060014003003,G06000104003003,060014003003,0.986330935252,0.986440677966,0.990445859873,0.991124260355,0.983230456825
G06000104003003,060014003003,G06000104011004,060014011004,0.013669064748,0.013559322034,0.009554140127,0.008875739645,0.016769543175
G06000104003004,060014003004,G06000104003004,060014003004,1,1,1,1,1
G06000104004001,060014004001,G06000104004001,060014004001,0.966699935171,0.96745044118,0.969148475636,0.969687106499,0.970455123506
G06000104004001,060014004001,G06000104239021,060014239021,0.025328917448,0.024757351027,0.024723604027,0.023641392414,0.020938374302
G06000104004001,060014004001,G06000104239022,060014239022,0.007971147381,0.007792207792,0.006127920337,0.006671501088,0.008606502192
G06000104004002,060014004002,G06000104004002,060014004002,1,1,1,1,1
G06000104004003,060014004003,G06000104004003,060014004003,0.967107539915,0.968874171602,0.980079882152,0.980596728193,0.974877545439
G06000104004003,060014004003,G06000104239022,060014239022,0.032892460085,0.031125828398,0.019920117848,0.019403271807,0.025122454561
G06000104005001,060014005001,G06000104005001,060014005001,0.988163993464,0.990704393388,0.995663569138,0.992289171878,0.993295177601
G06000104005001,060014005001,G06000104239011,060014239011,0.011836006536,0.009295606612,0.004336430862,0.007710828122,0.006704822399
G06000104005002,060014005002,G06000104005002,060014005002,1,1,1,1,1
G06000104005003,060014005003,G06000104005003,060014005003,0.991245997445,0.991374002377,0.993151883187,0.992988498109,0.986870567471
G06000104005003,060014005003,G06000104239012,060014239012,0.008754002555,0.008625997623,0.006848116813,0.007011501891,0.013129432529
G06000104006001,060014006001,G06000104006001,060014006001,1,1,1,1,1
G06000104006002,060014006002,G06000104006002,060014006002,1,1,1,1,1
G06000104007001,060014007001,G06000104007001,060014007001,0.939138247712,0.938168898616,0.95136499324,0.943866405618,0.955872437358
G06000104007001,060014007001,G06000104240014,060014240014,0.060861752288,0.061831101384,0.04863500676,0.056133594382,0.044127562642
G06000104007002,060014007002,G06000104007002,060014007002,1,1,1,1,1
G06000104007003,060014007003,G06000104007003,060014007003,1,1,1,1,1
G06000104007004,060014007004,G06000104007004,060014007004,1,1,1,1,1
G06000104008001,060014008001,G06000104008001,060014008001,0.958666645807,0.960338375519,0.96511090166,0.963440691702,0.947505838719
G06000104008001,060014008001,G06000104240021,060014240021,0.006823702104,0.006921164358,0.008681334885,0.008039969775,0.007650468261
G06000104008001,060014008001,G06000104220001,060014220001,0,0,0,0,7.44873178e-4
G06000104008001,060014008001,G06000104240022,060014240022,0.030263039549,0.028375796248,0.022113532605,0.024335214803,0.032487333276
G06000104008001,060014008001,G06000104251032,060014251032,0.00424661254,0.004364663876,0.00409423085,0.00418412372,0.004857193845
G06000104008001,060014008001,G06000104007001,060014007001,0,0,0,0,0.00675429272
G06000104008002,060014008002,G06000104007001,060014007001,0,0,0,0,0.039945053945
G06000104008002,060014008002,G06000104008002,060014008002,1,1,1,1,0.960054946055
G06000104008003,060014008003,G06000104007001,060014007001,0,0,0,0,0.016228651547
G06000104008003,060014008003,G06000104008003,060014008003,0.993808049536,0.996376811594,0.988990825688,0.990033222591,0.930814696035
G06000104008003,060014008003,G06000104009001,060014009001,0.006191950464,0.003623188406,0.011009174312,0.009966777409,0.047582019557
G06000104008003,060014008003,G06000104009002,060014009002,0,0,0,0,0.005374632861
G06000104009001,060014009001,G06000104009001,060014009001,1,1,1,1,1
G06000104009002,060014009002,G06000104009002,060014009002,0.984170206425,0.983347991887,0.988095241658,0.984683812318,0.984878258007
G06000104009002,060014009002,G06000104251041,060014251041,0.015829793575,0.016652008113,0.011904758342,0.015316187682,0.015121741993
G06000104010001,060014010001,G06000104010001,060014010001,1,1,1,1,1
G06000104010002,060014010002,G06000104010002,060014010002,1,1,1,1,1
G06000104010003,060014010003,G06000104010003,060014010003,1,1,1,1,1
G06000104010004,060014010004,G06000104010004,060014010004,1,1,1,1,1
G06000104010005,060014010005,G06000104010005,060014010005,0.999768977918,0.99975709578,0.999988758346,0.999989816094,0.978698776005
G06000104010005,060014010005,G06000104011003,060014011003,0,0,0,0,0.021133925059
G06000104010005,060014010005,G06000104014001,060014014001,2.31022082e-4,2.4290422e-4,1.1241654e-5,1.0183906e-5,1.67298936e-4
G06000104010006,060014010006,G06000104010006,060014010006,0.867741935484,0.880228136882,0.878571428571,0.872268907563,0.863236876719
G06000104010006,060014010006,G06000104010003,060014010003,0.132258064516,0.119771863118,0.121428571429,0.127731092437,0.136763123281
G06000104011001,060014011001,G06000104011001,060014011001,0.999247876712,0.999439736676,0.999997122019,0.99979241069,0.998524374489
G06000104011001,060014011001,G06000104012001,060014012001,7.52123288e-4,5.60263324e-4,2.877981e-6,2.0758931e-4,0.001475625511
G06000104011002,060014011002,G06000104011002,060014011002,1,1,1,1,1
G06000104011003,060014011003,G06000104011003,060014011003,1,1,1,1,1
G06000104011004,060014011004,G06000104011004,060014011004,1,1,1,1,1
G06000104012001,060014012001,G06000104012001,060014012001,1,1,1,1,1
G06000104012002,060014012002,G06000104012002,060014012002,1,1,1,1,1
G06000104012003,060014012003,G06000104012003,060014012003,1,1,1,1,1
G06000104013001,060014013001,G06000104013001,060014013001,1,1,1,1,0.992345596433
G06000104013001,060014013001,G06000104014001,060014014001,0,0,0,0,0.007654403567
G06000104013002,060014013002,G06000104013002,060014013002,1,1,1,1,1
G06000104013003,060014013003,G06000104013003,060014013003,1,1,1,1,1
G06000104014001,060014014001,G06000104014001,060014014001,1,1,1,1,1
G06000104014002,060014014002,G06000104014002,060014014002,1,1,1,1,1
G06000104014003,060014014003,G06000104014003,060014014003,1,1,1,1,1
G06000104015001,060014015001,G06000104015001,060014015001,0.977649006623,0.985133795837,0.998054474708,0.998178506375,0.990171674607
G06000104015001,060014015001,G06000104251042,060014251042,0.022350993377,0.014866204163,0.001945525292,0.001821493625,0.009828325393
G06000104015002,060014015002,G06000104015002,060014015002,1,1,1,1,1
G06000104015003,060014015003,G06000104015003,060014015003,1,1,1,1,1
G06000104016001,060014016001,G06000104016001,060014016001,1,1,1,1,1
G06000104016002,060014016002,G06000104016002,060014016002,1,1,1,1,1
G06000104017001,060014017001,G06000104017002,060014017002,1,1,1,1,0.99397492909
G06000104017001,060014017001,G06000104022003,060014022003,0,0,0,0,0.00602507091
G06000104017002,060014017002,G06000104017002,060014017002,1,1,1,1,1
G06000104017003,060014017003,G06000104017001,060014017001,0.857894736842,0.855042874643,0.998402555911,0.994673768309,0.169815403853
G06000104017003,060014017003,G06000104251042,060014251042,0,0,0,0,0.002336213169
G06000104017003,060014017003,G06000104017003,060014017003,0.142105263158,0.144957125357,0.001597444089,0.005326231691,0.827848382979
G06000104018001,060014018001,G06000104018001,060014018001,1,1,1,1,1
G06000104018002,060014018002,G06000104018002,060014018002,1,1,1,1,0.98357433956
G06000104018002,060014018002,G06000104022003,060014022003,0,0,0,0,0.01642566044
G06000104022001,060014022001,G06000104022001,060014022001,0.81456043956,0.825806451613,0.828157349896,0.816326530612,0.857728653055
G06000104022001,060014022001,G06000104022002,060014022002,0.18543956044,0.174193548387,0.171842650104,0.183673469388,0.142271346945
G06000104022002,060014022002,G06000104022002,060014022002,1,1,1,1,0.996164636528
G06000104022002,060014022002,G06000104022003,060014022003,0,0,0,0,0.003835363472
G06000104022003,060014022003,G06000104022003,060014022003,1,1,1,1,0.982290782018
G06000104022003,060014022003,G06000104105001,060014105001,0,0,0,0,0.017709217982
G06000104024001,060014024001,G06000104024001,060014024001,1,1,1,1,1
G06000104024002,060014024002,G06000104024002,060014024002,0.700641482537,0.696369636964,0.753424657534,0.738439306358,0.583013531966
G06000104024002,060014024002,G06000104024001,060014024001,0.299358517463,0.303630363036,0.246575342466,0.261560693642,0.416986468034
G06000104025001,060014025001,G06000104025001,060014025001,1,1,1,1,1
G06000104025002,060014025002,G06000104025002,060014025002,1,1,1,1,1
G06000104026001,060014026001,G06000104026001,060014026001,1,1,1,1,1
G06000104027001,060014027001,G06000104027001,060014027001,1,1,1,1,1
G06000104027002,060014027002,G06000104027002,060014027002,0.999844807967,0.999865798722,0.999891269262,0.999894885584,0.98626037695
G06000104027002,060014027002,G06000104027001,060014027001,1.55192033e-4,1.34201278e-4,1.08730738e-4,1.05114416e-4,0.01373962305
G06000104028011,060014028011,G06000104028002,060014028002,1,1,1,1,0.944842563464
G06000104028011,060014028011,G06000104027001,060014027001,0,0,0,0,0.055157436536
G06000104028012,060014028012,G06000104028002,060014028002,1,1,1,1,1
G06000104028013,060014028013,G06000104028002,060014028002,1,1,1,1,1
G06000104028021,060014028021,G06000104028001,060014028001,0.974025974026,0.972911963883,1,1,0.571836099585
G06000104028021,060014028021,G06000104028002,060014028002,0.025974025974,0.027088036117,0,0,0.428163900415
G06000104028022,060014028022,G06000104028001,060014028001,1,1,1,1,1
G06000104029001,060014029001,G06000104029001,060014029001,1,1,1,1,0.957205503465
G06000104029001,060014029001,G06000104034001,060014034001,0,0,0,0,0.042794496535
G06000104029002,060014029002,G06000104029001,060014029001,1,1,1,1,1
G06000104030001,060014030001,G06000104030001,060014030001,0.837861524978,0.836034318398,0.910891089109,0.896389324961,0.564669467168
G06000104030001,060014030001,G06000104030002,060014030002,0.162138475022,0.163965681602,0.089108910891,0.103610675039,0.435330532832
G06000104030002,060014030002,G06000104030002,060014030002,1,1,1,1,1
G06000104030003,060014030003,G06000104030001,060014030001,1,1,1,1,1
G06000104031001,060014031001,G06000104031001,060014031001,1,1,1,1,1
G06000104031002,060014031002,G06000104031001,060014031001,1,1,1,1,1
G06000104033011,060014033011,G06000104033002,060014033002,1,1,1,1,1
G06000104033012,060014033012,G06000104033002,060014033002,0.953974895397,0.955188679245,1,0.996825396825,0.828989228107
